Column1;Column2;Column3;Column4;Column5
18.885.459/0001-85;TOP CENTRO COMERCIO DE COMBUSTIVEIS LTDA;RUA BARBOSA LIMA,113,CENTRO,JUIZ DE FORA,MG,BRAZIL;-21.76227940000002;-43.34415669999998
05.999.998/0001-01;AUTO POSTO MAIS LTDA;RUA JOAO MODESTO,128,CENTRO,LAVRAS,MG,BRAZIL;-21.24892529999999;-45.00183519999999
24.051.193/0001-78;DEZ COMERCIO DE COMBUSTIVEIS E DERIVADOS LTDA;PRACA DR JORGE,185,CENTRO,LAVRAS,MG,BRAZIL;-21.2339459;-44.99759570000001
19.638.998/0001-82;AUTO POSTO SKIN?ÉO LTDA;RUA FRANCISCO DE ANDRADE,192,CENTRO,LAVRAS,MG,BRAZIL;-21.2477663;-45.00331499999999
01.280.937/0001-20;AUTO POSTO LAVRAS SHELL LTDA;AVENIDA DOUTOR SILVIO MENICUCCI,200,VILA ESTER,LAVRAS,MG,BRAZIL;-21.2342485;-44.99497270000001
05.725.402/0001-77;AUTO POSTO PREMIUM LTDA;RUA RUI BARBOSA,70,CENTRO,LAVRAS,MG,BRAZIL;-21.2497019;-45.00446259999998
00.493.641/0001-25;JUNQUEIRA & SAMIA POSTO DE COMBUSTIVEIS LTDA;AVENIDA DR. SILVIO MENICUCCI,1877,N.S.DO LIBANO,LAVRAS,MG,BRAZIL;-21.24836339999998;-44.99119450000001
37.326.646/0001-73;DISTRIBUIDORA AFM LTDA;AVENIDA DOUTOR FRANCISCO MARTINS DE ANDRADE,15,OURO PRETO,LAVRAS,MG,BRAZIL;-21.2543993;-45.00743059999999
15.245.054/0001-94;POSTO PEREIRA & MOTA EMPREENDIMENTOS LTDA;RUA OTACILIO NEGRAO DE LIMA,286,CENTRO,LAVRAS,MG,BRAZIL;-21.25320339999999;-45.00155960000001
37.138.423/0001-82;POSTO V8 LTDA;PRACA FRANCISCO PINHEIRO,9,CENTRO,LEOPOLDINA,MG,BRAZIL;-21.53372740000001;-42.63779489999999
33.059.278/0001-93;REDE SANTANA COMBUSTIVEIS LEOPOLDINA LTDA;AVENIDA FERREIRA BRITO,685,TRES CRUZES,LEOPOLDINA,MG,BRAZIL;-21.5209901;-42.6174577
08.638.750/0001-03;POSTO FILINTO DE ANDRADE LTDA;RODOVIA BR 116,S/N,DA ON?áA,LEOPOLDINA,MG,BRAZIL;-18.67610339999999;-41.9888488
