id,cnpj,endereco,estado,lat,lon,municipio,nome,cidade,bairro,cep,numero,fonte_coordenada
15789,09.155.349/0001-77,AVENIDA EMILIO BOSCO,SP,-22.8304969,-47.1666023,,AUTO POSTO VILLALOBOS LTDA,SUMARE,MATAO,13180-000,1450,Manual
17716,11.967.543/0001-07,AVENIDA UM,SP,-22.8078979,-47.2269156,,GOLDEN SUMARE AUTO POSTO LTDA,SUMARE,JARDIM NOVA TERRA (NOVA VENEZA),13179-060,5985,Manual
18201,06.278.983/0001-09,AVENIDA DA AMIZADE,SP,-22.8175985,-47.24571770000001,,CENTER AUTO POSTO DE SUMARE LTDA,SUMARE,PQ.RES.M.VASCONCELOS,13175-375,200,MANUAL
14829,00.746.506/0001-44,AVENIDA AUGUSTA DIOGO AYALA,SP,-22.85109990000002,-47.18774869999998,,POSTO PRACA LTDA,SUMARE,JARDIM BOM RETIRO (NOVA VENEZA),13181-610,515,MANUAL
15276,07.301.813/0001-60,AVENIDA FUAD ASSEF MALUF,SP,-22.7939375,-47.2828339,,AUTO POSTO A.F LTDA,SUMARE,JARDIM PICERNO I,13173-260,355,Manual
19361,02.342.234/0001-42,AVENIDA DA AMIZADE,SP,-22.8096134,-47.2285954,,AUTO POSTO NOVA VENEZA LTDA.,SUMARE,NOVA VENEZA,13177-030,4396,Manual
17441,96.410.493/0001-07,AVENIDA MINASA,SP,-22.8488311,-47.159649,,POSTO TROPICOS LTDA.,SUMARE,DISTRITO NOVA VENEZ,13180-400,20,Manual
14495,66.881.632/0001-10,AVENIDA CHICO MENDES,SP,-22.8296721,-47.1829556,,POSTO DE SERVICO RAY LTDA,SUMARE,JD MARACANA,13176-102,123,Manual
17600,18.920.676/0001-69,ESTRADA MUNICIPAL VALENCIO CALEGARI,SP,-22.8251328,-47.2002603,,AUTO POSTO UNIAO SUMARE LTDA,SUMARE,JARDIM DULCE,13181-585,660,Manual
16360,67.486.266/0001-67,RUA QUIRILIO RAVAGNANI,SP,-22.8024512,-47.2716981,,POSTO REDE NOTA 10 LTDA,SUMARE,JARDIM SAO DOMINGOS,13174-110,55,Manual
14253,57.608.341/0001-61,RUA JOSE VEDOVATTO,SP,-22.84875239999998,-47.19128910000001,,AUTO POSTO DE SERVICOS BOM RETIRO LTDA,SUMARE,NOVA VENEZA,13181-680,1155,MANUAL
19363,01.619.389/0001-10,RODOVIA VIRGINIA VIEL CAMPOS DALL'ORTO,SP,-22.80680670000001,-47.24777240000001,,AUTO POSTO SANT'ANA DE SUMARE LTDA,SUMARE,CHACARA MONTE ALEGRE,13175-585,1820,MANUAL
17179,51.200.029/0001-58,"RODOVIA RODOVIA ANHANGUERA, KM 111",SP,-22.815614,-47.2084522,,IDEAL ANHANGUERA AUTO POSTO LTDA,SUMARE,JARDIM DO TREVO (NOVA VENEZA),13178-901,0,Manual
15588,67.534.586/0001-45,RUA ALFREDO DUMONT VILLARES,SP,-22.79810739999999,-47.20961940000002,,AUTO POSTO SANTA CAROLINA LTDA,SUMARE,JARDIM SANTA CAROLINA,13178-197,440,MANUAL
19135,20.459.425/0001-70,AVENIDA EMILIO BOSCO,SP,-22.8325053,-47.16639279999999,,CAPPELLI & ALVES AUTO POSTO LTDA,SUMARE,PARQUE YOLANDA (NOVA VENEZA),13179-180,1223,MANUAL
14459,02.568.305/0001-20,RODOVIA SP 110 A SP 330,SP,-22.82195089999999,-47.19008250000001,,POSTO PARQUE BRASIL 500 LTDA,SUMARE,NOVA VENEZA,13178-000,S/N,MANUAL
17547,23.971.764/0001-20,RUA JOSE MARIA MIRANDA,SP,-22.8262585,-47.26587789999999,,AUTO POSTO JEQUITIBA LTDA,SUMARE,CENTRO,13170-001,331,MANUAL
14899,53.615.829/0001-65,RUA BATISTA RAFFI,SP,-22.84761509999999,-47.1636301,,AUTO POSTO PETROLEIROS LTDA,SUMARE,SAO JUDAS TADEU,13180-530,409,MANUAL
16994,08.299.531/0001-39,RUA BERNARDO GUIMARAES,SP,-22.806503,-47.26383079999999,,AUTO POSTO BANGAI LTDA,SUMARE,PARQUE R. VIRGNIO BASSO,13174-295,190,MANUAL
14851,02.728.062/0001-40,AVENIDA ENGENHEIRO J. PINHEIRO DE U. CINTRA,SP,-22.8016963,-47.221917,,AUTO POSTO NOVA SUMARE LTDA,SUMARE,PARQUE INDUSTRIAL,13181-743,2545,Manual
14740,02.833.159/0001-12,AVENIDA JOAO ARGENTON,SP,-22.81145929999999,-47.27759760000001,,POSTO JARDIM ALVORADA DE SUMARE LTDA,SUMARE,JDM. ALVORADA,13172-180,2121,MANUAL
15843,18.747.986/0001-23,AVENIDA DA AMIZADE,SP,-22.81989310000001,-47.26151210000001,,AUTO POSTO JATOBA DE SUMARE LTDA,SUMARE,PARQUE JATOBA,13175-646,3,MANUAL
15832,11.853.518/0001-94,AVENIDA GUILHERME GARIJO,SP,-23.49051829999999,-46.2834952,,AUTO POSTO GARIJO LTDA,SUZANO,CENTRO,08695-010,1405,MANUAL
15809,11.614.172/0001-71,AVENIDA FRANCISCO MARENGO,SP,-23.5022737,-46.2992774,,AUTO POSTO FRANCISCO MARENGO LTDA,SUZANO,JARDIM DONA BENTA,08694-000,1852,Manual
19715,07.575.173/0001-87,AVENIDA FRANCISCO MARENGO,SP,-23.4992291,-46.29585079999998,,AUTO POSTO DONA BENTA LTDA,SUZANO,JARDIM DONA BENTA,08694-520,2455,MANUAL
14576,17.449.816/0001-08,RUA DOUTOR PRUDENTE DE MORAES,SP,-23.5406839,-46.2732515,,POSTO DE SERVICOS AUTOMOTIVOS E COMERCIO DE COMBUSTIVEIS ABU-DHABI LTDA,SUZANO,VILA MONTE SION,08613-135,4135,Manual
16513,04.409.786/0001-56,AVENIDA VEREADOR JOAO BAPTISTA FITTIPALD,SP,-23.5321451,-46.30660470000002,,AUTO POSTO SUZAN PETRO LTDA,SUZANO,VILA MALUF,08674-210,300,MANUAL
14965,11.499.744/0001-19,RUA UM,SP,-23.4944583,-46.3247694,,AUTO POSTO MIGUEL BADRA LTDA,SUZANO,MIGUEL BADRA,08690-000,51,Manual
15454,15.831.038/0001-83,RUA CABOCLOS,SP,-23.55030510000001,-46.29956529999999,,AUTO POSTO VILA URUPES LTDA,SUZANO,VILA URUPES,08615-190,470,MANUAL
14353,14.026.484/0001-52,RUA RUI BARBOSA,SP,-23.5421349,-46.3103494,,POSTO QUALITY BARUEL LTDA,SUZANO,VILA COSTA,08675-060,36,MANUAL
16083,03.131.007/0001-30,ESTRADA PREJU,SP,-23.4934208,-46.3170158,,MARLUCE E NETO AUTO POSTO LTDA,SUZANO,MIGUEL BADRA,08690-050,140,MANUAL
19107,16.550.664/0001-64,AVENIDA ANTONIO MARQUES FIGUEIRA,SP,-23.5565964,-46.3075783,,AUTO POSTO VILA FIGUEIRA LTDA,SUZANO,VILA FIGUEIRA,08676-000,2333,Manual
15767,01.458.172/0001-76,AVENIDA MAJOR PINHEIRO FROES,SP,-23.52891620000001,-46.31858890000001,,VIEGAS AUTO POSTO LTDA,SUZANO,VILA MARIA DE MAGGI,08680-000,1215,MANUAL
15785,14.033.566/0001-24,AVENIDA MAJOR PINHEIRO FROES,SP,-23.5242831,-46.32452180000001,,AUTO POSTO ILHA DA MADEIRA LTDA.,SUZANO,VILA MARIA DE MAGGI,08680-000,2017,MANUAL
15414,04.583.463/0001-84,AVENIDA ARMANDO SALES DE OLIVEIRA,SP,-23.5521333,-46.3195253,,POSTO QUALITY CASABLANCA LTDA,SUZANO,PARQUE SANTA ROSA,08673-000,2185,Manual
19037,56.104.094/0001-01,RODOVIA INDIO TIBIRICA,SP,-23.59117789999998,-46.30702769999998,,AUTO POSTO SANTA HELENA DE SUZANO LTDA,SUZANO,B DO RAFFO,08620-000,5290,MANUAL
15696,09.382.471/0001-86,RUA JOAO SANTUCCI,SP,-23.60448539999999,-46.75010800000002,,CENTRO AUTOMOTIVO BUSCA VIDA LTDA,TABOAO DA SERRA,VILA SANTA LUZIA,06754-090,425,MANUAL
16973,19.161.956/0001-01,ESTRADA BENEDITO CESARIO DE OLIVEIRA,SP,-23.6279667,-46.78563210000001,,AUTO POSTO PORTAL DA SERRA LTDA,TABOAO DA SERRA,JARDIM RECORD,06767-281,1390,MANUAL
19392,73.090.169/0001-53,RODOVIA REGIS BITTENCOURT,SP,-23.61812370000001,-46.7954301,,AUTO POSTO DAS OLIVEIRAS KM 274 LTDA,TABOAO DA SERRA,JARDIM TRES MARIAS,06793-100,4551,MANUAL
15653,04.847.983/0001-57,ESTRADA BENEDITO CESARIO DE OLIVERIA,SP,-23.6318615,-46.7831098,,AUTO POSTO EUROPA LTDA.,TABOAO DA SERRA,JD. RECORD,06767-281,1970,Manual
14660,01.845.420/0001-31,RUA DR MARIO AUGUSTO PEREIRA,SP,-23.6211894,-46.7856275,,CENTRO AUTOMOTIVO PINZETTA LTDA,TABOAO DA SERRA,PQ PINHEIROS,06767-330,88,Manual
15478,14.087.249/0001-90,AVENIDA CID NELSON JORDANO,SP,-23.63157690000001,-46.8037769,,AUTO POSTO JARDIM SALETE LTDA.,TABOAO DA SERRA,JARDIM SALETE,06787-360,35,MANUAL
19941,10.397.729/0001-05,ESTRADA TENENTE JOSE MARIA DA CUNHA,SP,-23.6294222,-46.79736639999998,,AUTO POSTO RAVELLO LTDA,TABOAO DA SERRA,JARDIM RECORD,06783-230,1326,MANUAL
14847,05.702.407/0001-84,AVENIDA SAO PAULO,SP,-23.60927630000001,-46.77658090000001,,AUTO POSTO RODABRASIL LTDA,TABOAO DA SERRA,INTERCAP,06757-170,256,MANUAL
18169,09.032.636/0001-90,AVENIDA FRANCISCO ETTORE PEDRO MARI,SP,-23.59801300000002,-46.75934330000002,,AUTO POSTO PARQUE ASSUNCAO LTDA .,TABOAO DA SERRA,JARDIM FREI GALVAO,06753-001,1321,MANUAL
